5.66	31.86	15.88
6.3	39.9	22.23
5.78	27.67	28.18
7.18	17	27.82
7.31	31.93	7.14
-6.37	-17.08	40.49
-5.96	1.49	36.88
-6.22	11.65	38.51
-9.11	-41.39	44.11
-7.17	-37.06	31.85
-7.7	-28.13	41.36
-7.18	-40.71	37.19
-6.12	-10.38	37.12
4.89	-26.74	32.26
6.31	-44.2	31.2
7.12	-31.3	42.37
6.21	13.81	35.52
4.3	-21.65	40.94
4.46	-9.51	39.07
6.41	19.62	39.06
4.88	.78	37.35
6.41	-40.82	38.78
-6.9	-45.88	16.66
-5.4	-43.76	25.98
5.28	-43.72	18.67
-9.09	-67.68	21.46
-5.04	-77.2	15.79
-9.18	-88.83	21.96
-8.15	-84.77	11.57
-7.68	-80.59	28.38
-3.17	-84.99	17.92
11.85	-82.34	24.06
7.32	-72.23	22.86
10.19	-81.04	14.52
9.06	-75.27	20.04
13.83	-91.72	5.42
12.89	-78.03	32.93
-43.92	8.99	11.08
-48.73	7.6	26.69
-45.32	4.42	17.33
-45.29	9.5	19.48
46.56	11.25	10.06
40.33	5.82	34.79
47.32	9.04	21.52
46.55	6.3	28.36
39.54	11.01	34.3
50.15	10	16.49
-35.77	36.1	-2
-40.47	25.68	-5.56
-33.4	34.59	-4.7
-44.07	20.48	-1.11
-43.14	33.44	.96
-21.99	18.45	-14.16
-30.11	26.59	-8.55
-22.56	-1.86	-12.91
41.51	30.89	-4.75
28.03	29.2	-8.21
34.78	23.11	-8.01
23.08	19.11	-10.95
47.35	33.97	2.22
46.58	22.31	-.2
38.09	37.44	-1.07
-42.57	26.97	23.08
-47.14	17.15	21.27
-45.91	25.1	12.47
-43.81	21.95	7.23
-38.71	34.85	15.99
-43.11	29.58	13.18
-44.35	16.35	11.53
-43.6	21.46	27.94
-46.06	12.69	28.81
-41.07	35.07	7.84
48.33	26.95	9.28
42.8	25.29	27.63
48.01	23.83	16.14
44.04	30.96	17.82
45.46	13.78	25.58
42.97	34.62	9.19
49.19	18.78	10.18
45.5	20.85	20.96
41.94	18.66	30.66
-6.09	35.82	-1.85
-6.83	58.02	4.39
-4.53	50.15	-.3
6.55	34	-1
7.65	57.42	2.92
5.15	46.23	1.26
-34.43	44.86	20.83
-32.04	33.39	31.15
-38.31	9.53	43.21
-32.24	19.41	45.18
-29.24	43.04	25.93
-25.16	8.3	54.05
-34.53	.88	50.01
-42.86	11.33	38.09
-35.08	27.13	37.28
-38.04	17.5	41.62
-40.14	27.81	29.9
-37.72	44.44	11.72
-25.27	20.95	49.03
-27.74	-3.32	54.92
-23.48	40.04	33.46
-28.34	32.49	38.14
-29.01	49.67	15.84
-37.95	36.49	24.66
-31	10.01	50.77
-24.01	49.78	-1.77
-38.59	45.7	3.18
-23.33	35.83	-7.74
-31.72	49.68	-.97
21.92	52.47	-2.59
36.68	45.73	-1.38
24.87	40.15	-6.71
34.96	50	4.16
33.33	13.35	47.96
24.95	46.57	27.98
33.21	28.87	39.53
26.23	20.38	46.24
38.9	1.15	47.42
40.35	39.17	19.13
34.04	45.22	21.29
37.24	33.35	30.65
30.78	49.68	12.39
24.17	38.65	35.04
39.47	31.25	25.47
27.4	6.88	54.41
34.44	-5.97	50.28
40.35	42.55	12.66
31.77	40.58	31.15
33.58	1.53	52.47
34.26	-8.41	56.55
40.01	22.27	37.49
25.86	29.81	41
39.27	13.51	42.87
-17.88	25.81	49.55
-24.65	-13.11	60.66
-20.38	47.84	30.58
-22.3	54.24	11.7
-22.03	32.39	40.76
-17.47	-15.66	69.93
-21.73	-4.43	59.99
-15.03	17.13	53.26
-14.49	43.09	36.81
-16.03	-2.1	60.69
-14.95	34.43	44.7
-19.12	9.67	56.87
-19.35	55.1	18.7
-16.63	53.44	25.76
24.24	-.79	-12.33
-5.2	44.06	42.84
-6.37	53.51	26.03
-7.5	24.36	56.05
-3.94	20.2	53.87
-5.77	43.56	26.03
-6.69	19.59	42.34
-8.91	58.32	14.44
-6.58	35.29	50.77
-7.56	52.58	33.86
-5.69	51.08	15.69
-3.03	39.05	35.95
-4.81	29.22	39.5
8.26	59.24	15.9
7.77	47.27	11.73
5.28	39.68	42.92
8.34	45.16	41.57
5.52	50.35	23.32
8.54	56.3	28.5
5.35	20	49.97
7.66	24.98	57.79
5.39	30.55	43.9
-13.43	51.1	-4.26
-14.36	24.33	-12.68
-16.99	42.08	-6.32
-20.26	56.12	3.5
20.56	56.34	5.45
15.64	24.19	-12.38
13.06	52.86	-4.53
14.91	39.36	-9.77
20.07	55.92	12.41
17.98	55.93	20.7
20.42	17.29	52.22
25.44	50.03	20.61
14.35	21.76	52.95
15.23	51.82	27.09
17.28	8.09	55.98
15.7	-16.11	66.17
22.58	-2.97	58.75
15.37	42.25	37.8
19.9	30.22	41.2
14.13	33.69	42.76
17.32	45.49	31.76
16.77	29.72	48.28
15.59	-3.74	61
25.26	-13.28	62.04
-25.79	-72.04	-14.31
-28.1	-53.21	-14.29
-24.84	-39.22	-13.1
-37.53	-48.38	-17.05
-26.38	-7.32	-30.26
-28.21	-25.19	-21.81
-26.46	.91	-30.94
-34.68	-28.93	-19.66
-35.67	-63.47	-15.29
26.12	-60.27	-10.14
28.86	-42.68	-10.15
29.63	-7.59	-30.43
24.77	-49.62	-14.63
32.05	-30.23	-19.57
24.88	-73.24	-11.59
35.72	-19.47	-20.76
28.94	2	-30.59
36.63	-58.21	-16.47
36.74	-39.86	-17.5
-40.36	-20.98	9.42
41.29	-19.68	11.26
-19	-32.89	.32
-28.56	-30.55	-5.2
-19.95	-10.28	-14.15
-28.94	-14.13	-12.5
-36.93	-64.89	36.12
-45.47	-61.33	20.55
-41.24	-63.55	32.52
-47.35	-56.32	26.32
-42.97	-66.09	25.78
19.53	-31.3	.29
29.95	-12.7	-11.06
23.8	-11.41	-13.49
29.26	-30.08	-4.31
-38.4	-6.52	3.93
-33.9	-20.01	11.04
-30.15	19.98	6.91
-30.66	11.44	13.24
-33.86	12.16	-.86
-34.58	-6.67	14.94
-35.18	6.61	-5.03
33.46	20.28	6.94
30.17	15.01	-6.39
36.33	10.32	6.12
36.81	4.55	6.25
38.65	-7	1.05
35.8	-6.46	13.66
32.3	-20.21	14.61
-7.73	-74.49	-6.42
-15.7	-82.43	-17.28
-19.58	-65.19	-4.76
-19.87	-84.62	-16.14
-6.9	-65.52	-.29
-13	-47.84	-2.8
-17.58	-60.53	-10.07
-19.77	-42.57	-4.69
15.16	-47.74	-.34
8.43	-64.42	.11
13.84	-73.13	-11.11
19.5	-77.83	-10.9
21.4	-88.76	-16.08
8.92	-63.54	-7.5
8.47	-45.46	-.96
17.93	-45.83	-6.1
12.49	-77.14	-5.77
-44.25	-63.05	-14.34
-22.44	-87.75	-12.33
-40.62	-69.82	-8.53
-33.94	-76.9	-11.6
39.94	-68.33	-12.74
25.66	-89.66	-9.23
31.17	-82.29	-13.02
37.02	-77	-7.79
-23.55	-90.15	2.64
-25.4	-85.91	10.07
-32.56	-83.08	1.92
-37.16	-78.66	5.54
-41.24	-70.49	-2.11
-40.76	-71.49	10.4
-16.8	-95.71	-2.06
-21.11	-88.99	-6.57
-26.86	-77.26	24.85
-36.11	-72.27	22.5
-31.44	-72.92	28.28
-33.51	-79.65	14.89
-31.83	-81.56	-5.07
34.21	-79.03	15.07
26.61	-87.83	5.72
38.78	-74.4	1.23
36.36	-77.34	8.34
27.72	-81.09	19.68
30.47	-86.9	-1.2
31.48	-76.29	28.44
38.53	-70.94	22.25
-13.36	-91.38	3.71
-15.28	-84.83	14.8
-16.7	-82.05	24.27
-17.57	-78.91	33.1
-22.3	-83.31	21.9
40.6	-61	38.48
38.14	-68.02	31.9
42.92	-63.72	28.14
30.38	-69.05	38.72
45.65	-57.91	23.28
34.1	-64.62	41.06
48.4	-53.05	28.43
18.58	-81.33	17.24
15.74	-83.45	22.36
20.33	-81.68	29.06
24.36	-74.75	35.87
20.6	-87.3	7.19
22.33	-81.28	20.21
-8.49	12.29	-6.13
8.53	12.94	-5.67
-17.73	-2.85	2.77
18.35	-2.76	3.35
-19.26	-1.28	-19.89
